"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2012-07-30,130,9,0,2
2012-07-31,133,11,1,1
2012-08-01,114,10,2,1
2012-08-02,101,6,0,0
2012-08-03,66,5,0,1
2012-08-04,39,2,0,1
2012-08-05,42,2,0,2
2012-08-06,83,5,0,2
2012-08-07,95,5,0,1
2012-08-08,62,0,0,1
2012-08-09,68,3,0,0
2012-08-10,47,4,0,1
2012-08-11,31,4,0,1
2012-08-12,50,0,0,0
2012-08-13,57,5,0,1
2012-08-14,92,9,0,2
2012-08-15,41,3,0,0
2012-08-16,52,1,0,1
2012-08-17,75,6,0,1
2012-08-18,30,1,0,0
2012-08-19,36,2,1,0
2012-08-20,106,8,0,4
2012-08-21,117,8,0,0
2012-08-22,95,5,0,0
2012-08-23,90,6,2,2
2012-08-24,69,2,1,1
2012-08-25,36,1,0,1
2012-08-26,55,4,1,0
2012-08-27,135,5,0,1
2012-08-28,131,8,0,2
2012-08-29,129,5,0,3
2012-08-30,142,7,1,0
2012-08-31,97,3,0,0
2012-09-01,41,2,0,0
2012-09-02,66,2,0,1
2012-09-03,204,6,2,2
2012-09-04,227,12,1,6
2012-09-05,198,10,0,2
2012-09-06,164,9,0,0
2012-09-07,135,3,0,2
2012-09-08,54,4,0,1
2012-09-09,68,8,1,0
2012-09-10,223,9,0,0
2012-09-11,173,6,1,1
2012-09-12,207,10,0,2
2012-09-13,172,12,0,2
2012-09-14,119,1,3,2
2012-09-15,62,2,0,1
2012-09-16,108,7,1,0
2012-09-17,198,13,2,1
2012-09-18,223,10,0,2
2012-09-19,184,12,1,2
2012-09-20,200,12,0,3
2012-09-21,160,14,0,2
2012-09-22,66,1,0,1
2012-09-23,84,8,0,0
2012-09-24,223,12,1,2
2012-09-25,202,12,0,5
2012-09-26,234,14,0,1
2012-09-27,169,5,2,1
2012-09-28,184,14,1,0
2012-09-29,72,7,0,0
2012-09-30,88,7,0,2
2012-10-01,233,14,0,2
2012-10-02,262,7,1,0
2012-10-03,212,20,3,1
2012-10-04,200,11,0,2
2012-10-05,196,8,0,0
2012-10-06,53,4,0,0
2012-10-07,76,7,0,1
2012-10-08,199,11,0,4
2012-10-09,174,16,0,3
2012-10-10,232,10,0,2
2012-10-11,167,4,0,1
2012-10-12,68,2,0,0
2012-10-13,81,3,0,0
2012-10-14,86,1,0,1
2012-10-15,219,13,0,1
2012-10-16,288,22,1,2
